DrugID;Navn;Ental;Flertal
28101133083;Antabus;brusetablet;brusetabletter
28104307208;Flavamed;brusetablet;brusetabletter
28101554793;Wartec;påsmøring;påsmøringer
28104418108;Zoviduo;påsmøring;påsmøringer
28100400562;Synalar;påsmøring;påsmøringer
28100474965;Synalar 0,025 % med Chinoform;påsmøring;påsmøringer
28100608472;Canesten;påsmøring;påsmøringer
28100718376;Hydrokortison DnE;påsmøring;påsmøringer
28100975578;Emovat;påsmøring;påsmøringer
28101037879;Essex;påsmøring;påsmøringer
28101315887;Mildison Lipid;påsmøring;påsmøringer
28101666194;Microcid;påsmøring;påsmøringer
28101777795;Vectavir;påsmøring;påsmøringer
28101890597;Ibutop;påsmøring;påsmøringer
28103065199;Bactroban;påsmøring;påsmøringer
28103128799;Vaniqa;påsmøring;påsmøringer
28104238407;Hyderm;påsmøring;påsmøringer
28104820710;Ovison;påsmøring;påsmøringer
28104887111;Pliapel;påsmøring;påsmøringer
28101470391;Bifluorid;pensling;penslinger
28101905597;Orfiril Long;beholder;beholdere
28101905697;Orfiril Long;beholder;beholdere
28101802896;Contalgin;brev;breve
28101802996;Contalgin;brev;breve
28101803096;Contalgin;brev;breve
28100600471;Saroten Retard;kapsel;kapsler
28101011571;Saroten Retard;kapsel;kapsler
28101779795;Contalgin Uno;kapsel;kapsler
28101779995;Contalgin Uno;kapsel;kapsler
28101780195;Contalgin Uno;kapsel;kapsler
28101932797;Gemadol Retard;kapsel;kapsler
28101197084;Gastro-Timelets;kapsel;kapsler
28101259986;Hexasoptin Retard;kapsel;kapsler
28101260086;Hexasoptin Retard;kapsel;kapsler
28101323588;Sirdalud Retard;kapsel;kapsler
28101403490;Lomir Retard;kapsel;kapsler
28101671494;Palladon;kapsel;kapsler
28101671594;Palladon;kapsel;kapsler
28101671694;Palladon;kapsel;kapsler
28101671794;Palladon;kapsel;kapsler
28104794610;Sancuso;plaster;plastre
28101405590;Nicotinell;plaster;plastre
28101405690;Nicotinell;plaster;plastre
28101415390;Discotrine;plaster;plastre
28101860196;Evo-Sequi;plaster;plastre
28103482303;Kentera;plaster;plastre
28103986706;Nicorette Invisi;plaster;plastre
28104147807;Transtec;plaster;plastre
28104251207;Neupro;plaster;plastre
28104901011;Systen Conti;plaster;plastre
28104826011;Alfuzosin 2care4;tablet;tabletter
28104910911;Levodopa/Carbidopa Accord;tablet;tabletter
28105150312;Targin;tablet;tabletter
28105150412;Targin;tablet;tabletter
28105264613;Envarsus;tablet;tabletter
28105264713;Envarsus;tablet;tabletter
28105264813;Envarsus;tablet;tabletter
28136233603;SelenoPrecise;tablet;tabletter
52610058597;Venokan;tablet;tabletter
52620015693;Mega C 1500 Scanpharm;tablet;tabletter
28100486965;Egazil;tablet;tabletter
28100560469;Ferro Duretter;tablet;tabletter
28100599871;Litarex;tablet;tabletter
28101004478;Theo-dur;tablet;tabletter
28101004578;Theo-dur;tablet;tabletter
28101055580;Bricanyl Retard;tablet;tabletter
28101095482;Bricanyl Retard;tablet;tabletter
28101164083;Unixan;tablet;tabletter
28101171983;Veraloc Retard;tablet;tabletter
28101184184;Cardopax Retard;tablet;tabletter
28101218285;Unixan;tablet;tabletter
28101219585;Cardil;tablet;tabletter
28101320687;Ibumetin Retard;tablet;tabletter
28101410190;Unixan;tablet;tabletter
28101542193;Contalgin;tablet;tabletter
28101942497;Mandolgin Retard;tablet;tabletter
28101942597;Mandolgin Retard;tablet;tabletter
28101942697;Mandolgin Retard;tablet;tabletter
28103013398;Depolan;tablet;tabletter
28103013498;Depolan;tablet;tabletter
28103013598;Depolan;tablet;tabletter
28103013698;Depolan;tablet;tabletter
28103864105;Circadin;tablet;tabletter
28103909206;Danafusin;tablet;tabletter
28104203007;OxyContin;tablet;tabletter
28104876411;Oxycodonhydrochlorid Accord;tablet;tabletter
28104876611;Oxycodonhydrochlorid Accord;tablet;tabletter
28104876711;Oxycodonhydrochlorid Accord;tablet;tabletter
28105187912;Lescol XL;tablet;tabletter
28103310401;Carbaglu;tablet;tabletter
28103566803;Certican;tablet;tabletter
28103566903;Certican;tablet;tabletter
28103805205;Exjade;tablet;tabletter
28105167012;Votubia;tablet;tabletter
28105167112;Votubia;tablet;tabletter
28105167212;Votubia;tablet;tabletter
28103321701;Pamol Flash;tablet;tabletter
28104173107;Omeprazol Bluefish;kapsel;kapsler
28103150800;Videx EC;kapsel;kapsler
28104649510;Omeprazol Aurobindo;kapsel;kapsler
28105063112;Procysbi;kapsel;kapsler
28105063212;Procysbi;kapsel;kapsler
28105469414;Creon;kapsel;kapsler
52610039793;Idoform;kapsel;kapsler
52610059897;Bifodan mælkesyrebakterier;kapsel;kapsler
28105258513;Noxafil;tablet;tabletter
52610069901;Aesculaforce forte;tablet;tabletter
28100225957;Perilax;tablet;tabletter
28100232757;Dulcolax;tablet;tabletter
28100571670;Toilax;tablet;tabletter
28101356789;Erycin;tablet;tabletter
28101376189;Magnyl DAK;tablet;tabletter
28101467091;Naproxen-E Mylan;tablet;tabletter
28101467191;Naproxen-E Mylan;tablet;tabletter
28104662610;Hjertealbyl;tablet;tabletter
28104662810;Hjertealbyl;tablet;tabletter
28104724110;Esomeprazole Portfarma;tablet;tabletter
28104724210;Esomeprazole Portfarma;tablet;tabletter
28116169203;Atrosan;tablet;tabletter
52610000393;Valerina Nat;tablet;tabletter
52610032293;Kan Jang;tablet;tabletter
52610045893;Bio-Biloba;tablet;tabletter
52610059697;Seredrin;tablet;tabletter
52610066899;Calmigen 300;tablet;tabletter
52620002193;Jern C medic;tablet;tabletter
52620002893;APOVIT Ferrofumarat;tablet;tabletter
52620003493;APOVIT B-Combin stærk;tablet;tabletter
52620010193;BiOrto Total B;tablet;tabletter
52620025693;Bio-C-Vit. Pharma N syreneut;tablet;tabletter
28101697494;Uromitexan;tablet;tabletter
28101697594;Uromitexan;tablet;tabletter
28103087599;Loette 28;tablet;tabletter
28103123099;Trizivir;tablet;tabletter
28103874505;Stocrin;tablet;tabletter
28103874605;Stocrin;tablet;tabletter
28104019206;Adenuric;tablet;tabletter
28104412608;Escitalopram Paranova;tablet;tabletter
28104413708;Escitalopram Paranova;tablet;tabletter
28104456108;Revolade;tablet;tabletter
28104456208;Revolade;tablet;tabletter
28104474409;Moderiba;tablet;tabletter
28104481309;Votrient;tablet;tabletter
28104527409;Prezista;tablet;tabletter
28104527509;Prezista;tablet;tabletter
28104657410;Sprycel;tablet;tabletter
